id,Robot Name,Robot Type,Map Name,Error Code,Title,Description,status,Assigned User,note,Time Stamp,Resolution Time,Resolution Time (s),Unique ID
380374,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:39:02 +07:00,00h 00m 01s,1,4ba1b6c9-3c44-435f-9436-83d721544656
380373,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:38:09 +07:00,00h 02m 46s,166,56f06b13-29ce-490a-92c2-6ad29655dea1
380372,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:38:08 +07:00,00h 00m 00s,0,4bf5e994-63d3-43a6-8b6b-923461a91f12
380371,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:37:51 +07:00,00h 00m 17s,17,c1351a54-fb35-48c7-971a-bf09e09004b4
380370,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:37:50 +07:00,00h 00m 01s,1,6ca12e0c-ce8f-4822-99de-d2fc1ac76591
380369,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:37:41 +07:00,00h 00m 08s,8,43a5a637-73f2-4694-a70b-883be2e95649
380368,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:37:40 +07:00,00h 00m 01s,1,32a2a5b7-da99-4f6f-ae1e-53df8605cf48
380367,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:36:29 +07:00,00h 01m 10s,70,b7ddad41-2c78-419a-a053-bd876c73b1da
380366,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:36:29 +07:00,00h 00m 00s,0,183cbf6d-fb71-4206-b3a6-36d862927e05
380364,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:36:29 +07:00,00h 00m 00s,0,357d1fb8-0fdf-41c0-99c3-c7036ed905f6
380363,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:36:29 +07:00,00h 00m 00s,0,ec135471-2a82-4161-a860-52b16d89c554
380362,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:36:14 +07:00,00h 00m 15s,15,183cbf6d-fb71-4206-b3a6-36d862927e05
380360,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:36:11 +07:00,00h 02m 50s,170,dd43583e-0132-4688-bbe0-b56f543bc70c
380358,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:36:11 +07:00,00h 00m 03s,3,95a963a9-a7b9-44e4-815e-a31b5cc36d98
380357,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:36:10 +07:00,00h 00m 00s,0,23038ff9-2775-4953-9ff6-90d758d67002
380356,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:36:10 +07:00,00h 00m 00s,0,183cbf6d-fb71-4206-b3a6-36d862927e05
380354,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:36:09 +07:00,00h 00m 01s,1,7a243e4f-6df4-49c3-a08a-fb59ca8e8f9b
380353,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:36:07 +07:00,00h 00m 02s,2,6eefc0c9-718e-4908-95d7-2e5c1be725ef
380352,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:36:00 +07:00,00h 00m 10s,10,c3345547-c58f-4203-87d8-53d3b4470964
380351,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:35:56 +07:00,00h 00m 03s,3,dd43583e-0132-4688-bbe0-b56f543bc70c
380349,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:35:55 +07:00,00h 00m 01s,1,72f1cdbf-b85c-4b77-96f4-7df824ecba31
380348,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:35:27 +07:00,00h 00m 27s,27,bdafde22-01d1-4a42-847d-e110889c4fb5
380347,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:35:26 +07:00,00h 00m 01s,1,dd43583e-0132-4688-bbe0-b56f543bc70c
380345,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:35:25 +07:00,00h 00m 00s,0,e514d513-3e48-4466-bb8a-b8bfabcbd0cf
380344,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:35:24 +07:00,00h 00m 01s,1,72c16c1b-3713-4087-bfae-b101abc490e4
380343,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:35:14 +07:00,00h 00m 52s,52,183cbf6d-fb71-4206-b3a6-36d862927e05
380342,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:35:12 +07:00,00h 00m 00s,0,0f9ddb60-ae69-4647-99f8-4796351e2132
380341,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:34:52 +07:00,00h 00m 00s,0,ce3ed943-a93e-4b11-b163-d277e628cb17
